Zodis                         Eilutes
jų                            15, 43, 61, 82, 88, 98, 104, 108, 117, 127, 193, 499, 586, 604, 618, 643, 683, 690, 744, 768, 786
k                              79, 756
kad                            8, 31, 35, 72, 98, 108, 117, 683, 685, 712, 753
kadangi                        8, 758
kadencijai                     132, 139
kai                            51, 72, 330, 624, 690
kaime                          626, 683
kaimu                          274
kaimyninių                    90, 750
kaip                           19, 98, 102, 108, 127, 132, 194, 278, 456, 574, 716
kalba                          31, 683, 750
kalbas                         674, 683, 685
kalbą                         683, 685
kalbų                         685, 750
karaliaus                      37, 50
karaliumi                      25, 33, 39, 80
karalystė                     456, 529, 618
karalystės                    61, 604, 620, 622
karas                          47, 55, 67, 70, 94, 108
kare                           43, 51
kariai                         8, 69
karinių                       132, 185
kariuomenė                    43, 51, 53, 80, 117, 183
kariuomenę                    117, 186
karių                         43, 186
karo                           3, 72, 90, 102, 108, 626, 690, 744
kartu                          102, 193
kartus                         51, 132
kartą                         3, 19, 53, 753
karui                          45, 47
karą                          43, 51
karščio                      335, 351
katalikų                      63, 690
kategorijos                    556, 564
kaunas                         1, 604, 626, 723, 731
kaune                          108, 744, 758, 768
kauno                          199, 224, 225, 557, 572, 574, 595, 730, 731, 738, 786
kazlų                         226, 434
keliai                         564, 565, 567
kelias                         17, 108
kelis                          35, 43, 51
kelių                         19, 556, 561
kiek                           186, 624, 683
kita                           19, 37
kiti                           1, 447, 750
kitomis                        61, 72
kitos                          79, 80, 282, 495, 550, 681
kitus                          17, 458
kitų                          17, 19, 106, 108, 663, 685, 690, 709
klaipėda                      1, 557, 604, 626, 725, 732
klaipėdos                     86, 90, 200, 229, 230, 557, 596, 643, 710, 732, 736, 737, 739
klimatas                       15, 286, 287, 330
klimato                        280, 330
km                             1, 115, 274, 276, 386, 392, 393, 394, 395, 396, 559, 586
km�                            1, 276, 399, 400, 401, 402, 403, 432, 433, 434, 435, 436
kokį                          51, 696
konferencijos                  72, 108
kongreso                       61
konstantino                    43, 758
konstitucija                   80, 86, 121, 125
konstitucijos                  84, 452
kov                            294, 341
kovo                           3, 19, 63, 72, 90, 114, 117, 121
kovos                          25, 82, 108
krašto                        86, 92, 173, 186
kraštovaizdis                 289, 377
kraštą                       55, 90
krepšinio                     786
krikšto                       25, 690
krikštą                      25, 753
krikščioniškų              150, 153
krito                          88, 456
kritulių                      330
kultūra                       15, 51, 65, 746, 747, 750, 752
kunigai                        690
kunigaikštis                  27, 33, 35, 39
kunigaikštystei               19, 61
kunigaikštystė               3, 21, 25, 27, 31, 43, 55, 61
kunigaikštystės              19, 27, 43
kunigaikščio                 8
kur                            63, 108, 618, 643, 710
kuri                           15, 43, 45, 53, 61, 72, 98
kuriame                        72, 92
kurie                          8, 17, 37, 51, 72, 108, 690
kurioje                        5, 14
kurios                         19, 607, 716
kuris                          25, 39, 55, 72, 744
kurią                         51, 82, 92, 162
kurių                         559, 716
kurti                          92, 762
kurį                          43, 61
kuršių                       1, 334, 749, 750
kv                             586
kvedlinburgo                   14, 19
kęstutis                      27, 180
labai                          51, 55, 330, 456
labiau                         106, 780
labiausiai                     274, 624
laikinoji                      80, 84, 102
laikinąja                     79, 82
laiko                          278, 624, 643
laikoma                        15, 458
laikomos                       716
laiką                         61, 186
laisvė                        61, 72, 156
laisvės                       5, 108
laisvę                        108, 456
lap                            302, 349
lapkritį                      63, 82
lapkričio                     51, 80, 82, 125, 157
latvija                        1, 274, 276, 523, 538
latvijos                       115, 604
lazerių                       458, 607
ldk                            22, 30, 43
leido                          51, 92
lenkai                         82, 643, 648, 683
lenkia                         456, 458
lenkija                        1, 61, 82, 90, 274, 488, 525, 535, 559
lenkijoje                      63, 186
lenkijos                       31, 33, 35, 37, 39, 43, 45, 51, 61, 82, 92, 604
lenkų                         43, 47, 61, 643, 668, 669, 678, 683
liaudies                       98, 753
lie                            298, 345
liepos                         82, 98, 330
liepą                         25, 80
lietuva                        1, 5, 14, 19, 25, 31, 35, 43, 58, 67, 72, 84, 90, 92, 108, 110, 117, 121, 125, 186, 194, 276, 280, 330, 456, 458, 497, 712, 753
lietuvai                       82, 92, 117, 289, 456
lietuviai                      15, 19, 70, 72, 641, 647, 685, 753, 776, 788
lietuviška                    72, 773, 775
lietuviški                    24, 780
lietuvių                      19, 43, 61, 65, 70, 72, 622, 676, 683, 750, 752, 753, 761, 762
lietuvoje                      35, 45, 63, 92, 98, 102, 108, 115, 120, 127, 194, 278, 290, 330, 386, 499, 550, 559, 586, 590, 604, 607, 616, 618, 643, 692, 716, 744, 750, 758, 783, 786
lietuvos                       1, 3, 5, 8, 11, 15, 19, 21, 25, 27, 31, 33, 35, 39, 43, 45, 51, 53, 55, 60, 61, 63, 70, 72, 74, 75, 80, 82, 84, 86, 90, 94, 96, 97, 98, 102, 106, 108, 112, 114, 115, 117, 121, 124, 144, 149, 152, 166, 185, 186, 189, 191, 193, 194, 271, 273, 274, 276, 278, 287, 330, 335, 337, 378, 386, 390, 392, 397, 404, 413, 429, 430, 453, 462, 463, 499, 516, 517, 545, 554, 556, 561, 571, 572, 576, 588, 590, 592, 607, 610, 616, 618, 620, 640, 641, 643, 645, 665, 683, 685, 690, 692, 712, 715, 718, 744, 747, 750, 753, 758, 765, 770, 786, 788
lietuvos�                      147, 164
lietuvą                       19, 33, 39, 63, 82, 90, 92, 102, 104, 106, 456, 559, 620, 622
linijos                        566, 586
linijų                        559, 586
literatūra                    760, 761, 762
literatūrą                   108, 762
liublino                       3, 45
liuteronai                     690, 701
livonijos                      25, 45, 47
lotyniškais                   63
lr                             121, 501, 507
lsdp                           166, 168, 172, 173, 174, 175, 176, 177, 178, 180, 181
lt                             517
lyginant                       186, 628
lygio                          458, 607
lygis                          5, 505, 506
lygumos                        280, 380, 382, 384
lygį                          5, 65
lėmė                         31, 35, 108, 753
m                              3, 5, 15, 19, 25, 27, 33, 35, 37, 39, 43, 45, 47, 50, 51, 53, 55, 61, 63, 70, 72, 74, 77, 79, 80, 82, 84, 86, 88, 90, 92, 94, 98, 102, 104, 108, 110, 115, 117, 120, 121, 125, 132, 139, 141, 157, 186, 194, 421, 422, 423, 424, 425, 454, 456, 462, 463, 497, 499, 501, 507, 517, 519, 532, 550, 557, 561, 576, 586, 588, 590, 604, 607, 612, 616, 618, 620, 622, 624, 626, 630, 631, 633, 635, 643, 646, 674, 683, 696, 710, 712, 718, 740, 744, 756, 758, 786, 788
marijampolės                  201, 234, 600, 736
maskvoje                       51, 70, 117
maskvos                        27, 43, 106
maskvą                        45, 51, 53, 108
maždaug                       115, 628
mažeikių                     96, 235, 574
mažiau                        15, 330, 572, 716
mažuma                        643, 668, 669, 671, 672
mažėjo                       616, 643
megavatais                     576, 592
meilutytė                     785, 788
metai                          465, 472, 503, 509, 628
metais                         3, 186, 618, 620, 624, 628, 786, 788
metinė                        470, 474
metraščiuose                 17, 19
metu                           31, 35, 47, 51, 53, 72, 80, 88, 104, 106, 108, 117, 121, 186, 604, 626, 690
metų                          3, 15, 19, 47, 51, 90, 115, 117, 121, 132, 139, 335, 628, 744
miestai                        1, 604, 714, 715, 716, 718
miestais                       716
miestas                        1, 53, 719
mieste                         643, 683
miesteliai                     715, 716
miesto                         211, 224, 229, 240, 241, 253, 266, 710
miestuose                      626, 710
miestų                        592, 710
mindaugas                      25, 786
mini                           19
minima                         14, 19
minimas                        19, 692
ministerijos                   79, 117, 501, 507
ministrai                      162, 165
ministras                      160, 162, 167, 168
mirties                        19, 104
mirtingumas                    618, 624
mirčių                       624
miškai                        15, 282, 426, 429, 432, 434, 435
miškų                        280, 289, 430, 437
mln                            477, 483, 517, 557, 604, 616, 647, 665
mm                             559
moka                           683, 685
mokslo                         178, 607
mokykla                        744
mokyklos                       744, 758
molotovoribentropo             92, 115
msur                           631, 633
muziejus                       758
mw                             572, 576, 592
mėn                           63, 104, 501, 507, 588
mėnesis                       291, 338
mėnesį                       117, 499
mūšyje                       27, 35, 43
na                             169, 179, 182
nacionalinė                   65, 645
naftos                         117, 557, 568
napoleoną                     61, 63
nare                           121, 456
narių                         72, 77, 143, 154
narys                          139
nato                           5, 121, 186
naudota                        31, 108
nauja                          86, 762
nausėda                       130, 132
ne                             19, 82, 98, 108, 117, 132, 572, 683, 716, 753
nebuvo                         43, 51, 53, 55, 102, 108, 117
negalėjo                      8, 51, 696
nei                            3, 139, 186, 618, 620, 626, 628, 641, 716
neilgai                        86, 117
nemunas                        386, 389, 392
nemuno                         15, 146, 165, 386
nenurodė                      664, 682, 696
nepaisant                      25, 108, 750
nepriklausoma                  72, 74
nepriklausomybės              3, 72, 108, 110, 114, 117, 121, 620
nepriklausomybę               108, 117, 454, 694
nepritarė                     72, 588
nerija                         749, 750
nes                            61, 330
neskaitant                     683, 685
net                            19, 31, 51, 108, 117, 643
neteko                         43, 72
nors                           61, 72, 90, 92, 194, 386, 696
norą                          108
nr                             719
nuo                            5, 8, 19, 25, 31, 43, 51, 55, 61, 72, 115, 120, 121, 125, 139, 157, 186, 194, 274, 456, 616, 620, 622, 624, 643, 690, 692, 716, 788
nuolat                         31, 55, 72, 574, 643
nuolatinių                    15, 25
nusiaubė                      51, 53
nutarimą                      72
nužudyti                      53, 102
nyderlandai                    486, 527, 539
nėra                          5, 8
o                              17, 25, 72, 92, 108, 121, 139, 330, 456, 616, 618, 626, 643, 683, 786
okupacija                      94, 97, 104, 108
okupaciją                     92, 108, 115
okupavo                        82, 98
okupuota                       3
olimpiadoje                    788
olimpine                       788
operacijose                    186
oras                           330
ordino                         25, 35
ordos                          35
organizacijos                  72, 98, 108
organizacijų                  63, 458
organizuoti                    80, 108
oro                            185, 186, 557, 586
pabaigoje                      3, 19, 25, 31, 43, 53, 55
padėtis                       458, 753
pagal                          33, 47, 55, 82, 92, 186, 335, 437, 456, 458, 480, 497, 501, 507, 548, 576, 592, 612, 643, 668, 669, 671, 672, 674, 683, 685, 696, 712, 718
pagrindinis                    11, 22, 42, 58, 75, 124, 125, 189, 271, 287, 386, 429, 453, 516, 554, 571, 610, 747, 761, 765, 773, 783
pagrindinės                   84, 618
pajamos                        499
pajėgos                       35, 186
pajėgų                       35, 132, 185, 186
pajūrio                       384, 409
pakeisti                       63, 92
pakrantėje                    1, 17
palaipsniui                    86, 102, 117
palanga                        604, 737
palangos                       240, 557
paliaubos                      47
paluckas                       160, 168
palyginti                      483, 685
panevėžio                    202, 241, 242, 598, 734
panevėžys                    1, 729, 734
paramos                        45, 117
parodė                        55, 108, 115
partija                        144, 146, 166, 167
partijos                       86, 165
partizanų                     108
pasaulinio                     3, 90, 108, 626, 690, 744
pasaulinis                     67, 70, 94
pasaulio                       3, 115, 334, 456, 750, 785, 786
pasaulyje                      456, 607
pasiektas                      616, 624
pasiekti                       43, 120, 186
pasiekusi                      5, 65
pasiekė                       15, 17, 27, 31, 35, 51, 117
pasirašyta                    82
pasiskirstymas                 437, 674, 696
paskelbta                      82, 98
paskelbė                      3, 82, 90, 108, 117
pastarasis                     758
pat                            27, 63, 80, 90, 98, 132, 194, 284, 330, 685, 716, 753, 786
pateko                         55, 72, 186, 497
pats                           33, 165, 169, 179, 180, 182
pavadinimo                     8
pavasariui                     330
paveldo                        334, 750, 753
pavyko                         43, 82
pačioje                       274, 618
pačiu                         31, 106
pačių                        117, 121
pelkės                        282, 386
per                            63, 70, 108, 120, 499, 750, 762
persitvarkymo                  112, 115
personalinė                   33, 45
petras                         72, 758
pietrytinėje                  1, 17
pietuose                       1, 31
pietus                         274, 276
piliečiai                     102, 139, 620
piliečių                     121, 588, 618, 620, 645, 665
pirmasis                       67, 70, 84, 86, 108, 588, 758
pirmieji                       15, 25, 762
pirmininkas                    137, 160, 162, 168
pirmininku                     72
pirmoje                        65, 690
pirmoji                        80, 117, 744
pirmojo                        3, 744
pirmuoju                       25, 121
pirmą                         19, 53, 456, 753
platumos                       274
platumų                       280, 330
plaukikė                      785, 788
plėtėsi                      15, 25, 744
po                             3, 15, 35, 51, 61, 63, 90, 92, 98, 108, 115, 117, 121, 386, 616, 626, 690, 744
pokytis                        462, 468, 483
politinių                     17, 51, 72
politinė                      123, 124, 146, 167
politinės                     104, 165, 458
populiacijos                   643
požiūriu                     117, 280
pr                             15, 452
pradėjo                       65, 694
pradėta                       35, 51, 63, 98, 454, 762
pradžioje                     43, 51, 53, 55, 72, 616, 718
pragyvenimo                    5, 458
pralaimėjimo                  61, 63
prancūzija                    456, 530
prarasta                       53
prasidėjo                     19, 63, 82, 86, 88, 102, 104, 108
prasidėjus                    45, 47, 115
prekyba                        515, 516
prekybos                       458, 517
prezidentas                    125, 130, 131, 132
prezidento                     79, 80, 86, 127, 132
prezidentu                     80, 86, 121
prie                           8, 27, 35, 86, 456, 458, 624, 744
priemonėmis                   27
prieš                         15, 27, 45, 51, 63
priimta                        84, 86, 117, 121, 125
priimti                        84, 90
priklauso                      5, 121, 186
priklausė                     15, 499
pripažinimo                   102, 117
pripažino                     3, 98, 117
pripažintas                   72, 82
priėmė                       25, 72, 90, 753
proc                           82, 102, 186, 282, 380, 381, 382, 383, 384, 386, 618, 641, 643, 647, 648, 649, 650, 651, 652, 653, 654, 655, 656, 657, 658, 659, 660, 661, 662, 663, 664, 665
procentai                      521, 534
procentus                      668, 669, 671, 672
produktų                      88, 776
prūsija                       3, 19, 39
prūsijos                      61, 63
pusėje                        65, 690
pvz                            768, 780
ra                             92, 108
radviliškio                   82, 246
raidos                         456, 458, 497, 637
rajono                         210, 212, 213, 215, 218, 219, 220, 221, 222, 225, 227, 228, 230, 231, 232, 233, 235, 236, 239, 242, 243, 244, 245, 246, 247, 249, 250, 251, 252, 254, 255, 256, 257, 258, 259, 260, 261, 262, 263, 264, 265, 267, 269, 274, 641
rajonuose                      624
rankose                        51, 162
rašmenimis                    63
reaktorius                     588
referendume                    121, 588
reikalavo                      45, 92
reikalų                       117, 180, 181
reikmėms                      72, 559
reiškė                       90, 92
rekordai                       332, 335, 337, 351, 364
religijos                      108, 753
renkamas                       132, 139
renkami                        51, 139
respublika                     1, 41, 47, 51, 55, 98, 125
respublikai                    19, 127
respublikos                    3, 51, 61, 82, 121
respubliką                    3, 45, 82
rezistencija                   108
rimantas                       172, 179
rinkimai                       50, 98
rinkimų                       121, 139
rinkos                         454, 517, 519, 532
rinkti                         51, 139
rinktinė                      786
rizikos                        458, 499
rodikliai                      460, 463, 496, 501, 507
rodiklis                       465, 472, 503, 509, 624, 626
romos                          17, 37, 698, 758
rug                            299, 300, 346, 347
ruginė                        775, 780
rugpjūčio                    115, 117, 121
rugsėjo                       43, 51, 72, 117, 616
rusai                          643, 649, 683
rusija                         1, 3, 19, 51, 61, 72, 82, 456, 522, 537
rusijos                        31, 47, 53, 55, 57, 58, 60, 61, 63, 70, 274, 604, 618, 744
rusiją                        51, 63
rusios                         19, 25, 43
rusų                          19, 643, 671, 672, 677, 683
rytuose                        1, 278, 330
rytus                          27, 274
rytų                          1, 31, 274, 276, 280, 458
ryšiai                        72, 98, 117, 458
ryškėjo                      19, 65
ryšį                         72, 607
rūdos                         226, 434
rūta                          785, 788
rūšių                       127, 186
sabonis                        786
santykis                       479, 626
santykius                      72, 90
sau                            292, 339
saulius                        137, 157
sausio                         47, 117, 456
sausumos                       1, 186
savivaldybių                  127, 191, 194
savivaldybė                   210, 211, 212, 213, 214, 215, 216, 217, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 237, 238, 239, 240, 241, 242, 243, 244, 245, 246, 247, 248, 249, 250, 251, 252, 253, 254, 255, 256, 257, 258, 259, 260, 261, 262, 263, 264, 265, 266, 267, 268, 269
savivaldybės                  208, 274
savivaldybėse                 194, 641, 668, 669, 671, 672
savo                           17, 43, 51, 53, 92, 108, 744
scientific                     547, 550
seimas                         72, 84, 86, 117, 125, 135, 138, 139
seimo                          51, 55, 127, 137, 139, 154, 157
seimą                         45, 98, 139
seniūnijos                    194
sferai                         92
siekia                         1, 624
siekė                         31, 45, 108
siena                          1
sienas                         45, 82
sienos                         1, 31, 108
sistema                        39, 123, 124, 139
situaciją                     72, 88, 108
skaičius                      616, 620, 624, 665
skaičių                      604, 718
skiria                         132, 186
skirtumai                      19, 61, 683
skola                          470, 477
skurdo                         499
skvernelis                     137, 157
skyrė                         186, 753
smetona                        72, 79, 80
socialdemokratų               144, 166
socialiniai                    496, 507
socialinės                    175, 497, 716
sostine                        72, 79, 82
sostinę                       53, 82
sostą                         39, 47
sovietai                       92
sovietinė                     104, 108
sovietinės                    121, 454
sovietų                       3, 72, 82, 92, 96, 98, 106, 117, 690
spa                            301, 348
spalio                         82, 92, 121, 125
sparčiai                      186, 456, 626, 643
spauda                         63, 72, 98
spaudos                        63, 456
sportas                        782, 783
sporto                         178, 786
sritis                         1, 63
ssrs                           92, 98, 102, 104, 106, 108, 115, 117
statuso                        35, 61
statusą                       456, 716
stačiatikių                  63, 710
steigiamasis                   72, 84
steponas                       72, 744
straipsnis                     11, 22, 42, 58, 75, 124, 189, 271, 287, 429, 453, 516, 554, 571, 610, 747, 761, 765, 773, 783
struktūra                     108, 483
su                             1, 8, 17, 25, 31, 33, 39, 43, 45, 51, 61, 70, 72, 82, 92, 98, 102, 108, 125, 139, 186, 193, 276, 330, 479, 483, 559, 628, 685, 692, 716, 744
sudaro                         139, 162, 186, 407, 641, 643, 683
sudaryta                       33, 45, 80, 102
sudaryti                       86, 92
sudarė                        33, 51, 517, 604, 643, 710
sudėtis                       162, 640, 645
sudėtyje                      58, 61
sukilimas                      63, 102
sukilimo                       63
sukūrė                       61, 694
sumažėjo                     108, 616, 690
suomija                        274, 493
surašyme                      683, 696
surašymo                      643, 674
surašymą                     643, 683
susiformavo                    25, 108
susirinko                      72, 84
susirėmimai                   108
susisiekimo                    176, 753
suskirstymas                   188, 189
sustabdytas                    588
sustabdyti                     37, 82
sustiprėjo                    43, 51, 63
sutartinės                    750, 753
sutartis                       82
sutartį                       72, 82, 92
sąjunga                       92, 147, 150, 152, 153, 164
sąjungoje                     115, 456
sąjungos                      1, 3, 5, 15, 72, 86, 96, 121, 622, 685, 712
sąjungą                      84, 98, 106
sąjūdis                      108, 115, 148
sąjūdžio                    115
sąlygas                       51, 588, 618
sąrašą                      750
sūnus                         27, 39
t                              65, 499
tai                            8, 19, 31, 35, 90, 92, 108, 115, 186, 620, 753
taigi                          61, 618
taikos                         82
taip                           27, 33, 63, 90, 98, 106, 132, 194, 284, 330, 685, 716, 753
tais                           624, 788
tam                            51, 55
tapo                           3, 25, 27, 39, 121, 456, 786, 788
tapytojas                      756, 758
tarp                           15, 31, 274, 330, 458, 618, 630, 712, 786
tarptautinis                   86, 456
tarptautinės                  108, 458, 550
taryba                         3, 72, 80
tarybos                        5, 72, 77
tarybų                        115, 127
tauragės                      204, 259, 731
tauta                          641, 646
tautinio                       65, 788
tautinių                      86, 108
tautinė                       640, 643
tautos                         108, 132, 753
tautybės                      102, 643, 664, 683
